word	pinyin	definition	pos	sentence	translation
柄	bing3	pattern, design	Noun	彼は犬の柄のTシャツを着ているよ。	He's wearing a T-shirt with a dog print on it.
看病	kan4, kan1, bing4	nursing, nursing care	Verbal Noun	彼女は一晩中彼を看病したの。	She nursed him all night long.
気楽	qi4, le4, yue4	easygoing, comfortable	Adjectival Noun	将来は気楽な生活がしたいです。	I want to have an easy life in the future.
勤労	qin2, lao2	labor, work	Verbal Noun	父は長い勤労生活を送ったんです。	My father had a long working career.
区役所	qu1, ou1, yi4, suo3	ward office	Noun	区役所に書類を届けてください。	Please deliver the document to the ward office.
コマーシャル		commercial, advertising	Noun	彼女はテレビのコマーシャルに出ているわ。	She is appearing in a TV commercial.
刺さる	ci4	stick, be stuck	Verb	靴の底に釘が刺さってしまったんだ。	A nail has stuck in the bottom of my shoe.
市外	shi4, wai4	city outskirts, suburbs	Noun	祖父は市外の病院に通っているの。	My grandfather goes to a hospital outside the city.
しつこい		persistent	Adjective	しつこい迷惑メールに困っている。	I am having trouble with persistent junk mail.
霜	shuang1	frost	Noun	今朝は庭の草に霜が降りていたの。	There was frost on the grass in the garden this morning.
しゃがむ		squat down	Verb	お年寄りが道端にしゃがんでいますね。	An old person is squatting down on the side of the road.
主食	zhu3, shi2, si4	staple food	Noun	アジアの主食は米です。	The staple food of Asia is rice.
書道	shu1, dao4	Japanese calligraphy	Noun	書道をすると姿勢も良くなります。	Posture also improves when you study calligraphy.
怪しい	guai4	suspicious, dubious	Adjective	その男の行動は怪しかったわ。	That man's behavior was suspicious.
慌てる	huang1	be flurried, hurry	Verb	そんなに慌ててどこに行くの。	Where are you going in such a hurry?
一同	yi1, tong2, tong4	everybody, all	Noun	一同顔を見合わせました。	We all looked at each other.
歌声	ge1, sheng1	singing voice	Noun	校舎から歌声が聞こえて来たよ。	You could hear singing coming from the school building.
落ち葉	luo4, la4, lao4, xie2, ye4, she4	fallen leaves	Noun	落ち葉の季節になりましたね。	The season of falling leaves has arrived.
帯	dai4	belt, sash	Noun	この帯は長過ぎます。	This sash is too long.
思い切って	si1, sai1, qie1, qie4	boldly, decisively	Adverb	思い切って彼に相談します。	I'll take the plunge and ask him for advice.
勘	kan1, kan4	sense, intuition	Noun	女の勘を甘く見てはいけません。	Don't underestimate a woman's intuition.
掲示	jie1, shi4	notice, bulletin	Verbal Noun	大会のスローガンを掲示したよ。	I posted the rally's slogan.
毛糸	mao2, mi4	woolen yarn, wool	Noun	彼女は毛糸のセーターを編みました。	She knitted a woolen sweater.
コンテスト		contest	Noun	このコンテストに優勝すると車がもらえるんだ。	If you win this contest you can get a car.
婚約	hun1, yue1, yao1	engagement, betrothal	Verbal Noun	二人は婚約しています。	They are engaged.
最強	zui4, qiang2, jiang4, qiang3	strongest	Noun	彼は最強チームの一員です。	He is a member of the strongest team.
作製	zuo1, zuo4, zuo2, zhi4	manufacture, production	Verbal Noun	合鍵の作製には2日ほどかかります。	It takes about two days to make a duplicate key.
産婦人科	chan3, fu4, ren2, ke1	obstetrics and gynecology	Noun	最近、産婦人科の不足が問題になっているね。	Recently, shortages of obstetrics and gynecology specialists have become a problem.
辞典	ci2, dian3	dictionary	Noun	知らない言葉を辞典で調べました。	I looked up the word I didn't know in the dictionary.
車掌	che1, ju1, zhang3	train conductor	Noun	車掌さんが車内を回って来たよ。	The conductor went around the carriage.
邪魔	xie2, ye2, mo2	hindrance, obstruction	Verbal Noun	邪魔です、どいてください。	You're in the way, so please move.
人名	ren2, ming2	personal name, name	Noun	これは日本の人名ですか。	Is this a Japanese name?
水族館	shui3, zu2, guan3	aquarium	Noun	ここの水族館にはイルカがいます。	There is a dolphin in the aquarium here.
筋道	jin1, dao4	method, logic	Noun	筋道を立てて考えなさい。	Think logically.
素敵	su4, di2	lovely, nice	Adjective	素敵なプレゼントをありがとう。	Thank you for the wonderful gift.
済ます	ji4	settle, complete	Verb	宿題を済ませてから遊びなさい。	Play after you finish doing your homework.
生年月日	sheng1, nian2, yue4, ri4	date of birth	Noun	ここに生年月日を記入してください。	Please fill in your date of birth here.
言い換える	yan2, huan4	express in different words, paraphrase	Verb	彼は易しい言葉に言い換えたんだ。	He paraphrased it in easy language.
いい加減	jia1, jian3	irresponsible, half-baked	Adjectival Noun	いい加減なことを言ってはいけません。	You shouldn't say thoughtless things.
疑わしい	yi2	doubtful, questionable	Adjective	疑わしい場所は全部調べよう。	Let's search in all the suspicious places.
器	qi4	vessel, dish	Noun	この器は上等ね。	This dish is really top quality.
王様	wang2, wang4, yang4	king	Noun	その国の王様はとても賢い。	That country's king is very wise.
大喜び	da4, dai4, xi3	great joy, delight	Verbal Noun	弟は新しい自転車に大喜びです。	My little brother is overjoyed with his new bike.
学園	xue2, yuan2	educational institution, school	Noun	彼女は郊外の学園に通っているね。	She goes to a school in the suburbs.
過労	guo4, guo1, lao2	overwork	Noun	彼は過労のために倒れたの。	He collapsed from overworking.
頑丈	wan2, zhang4	solid, strong	Adjectival Noun	錠を頑丈なものに替えました。	The lock was substituted for a stronger one.
決まり	jue2	settlement, rule	Noun	決まりを守ることは大切です。	It is important to keep the rules.
キャベツ		cabbage	Noun	キャベツの千切りを添えたよ。	I garnished it with shredded cabbage.
草花	cao3, hua1	plants and flowers	Noun	草花を大切にしましょう。	Let's take good care of plants and flowers.
交互	jiao1, hu4	by turns, alternatively	Noun	男女交互に並んでください。	Please make a line of boy girl boy girl.
講堂	jiang3, tang2	lecture hall, auditorium	Noun	全員、講堂に集まってください。	Everyone, please come to the auditorium.
小麦粉	xiao3, mai4, fen3	flour	Noun	うどんは小麦粉から作られます。	Udon noodles are made from flour.
紺	gan4	dark blue, navy blue	Noun	日本の制服は紺が多いね。	Many school uniforms in Japan are navy blue.
歯科	chi3, ke1	dentistry	Noun	彼は歯科医師です。	He is a dentist.
時差	shi2, chai1, cha1, cha4, ci1	time difference	Noun	日本とフランスの時差は8時間です。	The time difference between Japan and France is eight hours.
品切れ	pin3, qie1, qie4	run out, sell out	Noun	牛乳は品切れだったよ。	Milk was sold out.
修了	xiu1, liao3, le5	completion	Verbal Noun	先月、そのコースを修了しました。	I finished the course last month.
賞品	shang3, pin3	prize, trophy	Noun	パーティーのビンゴの賞品は何がいいだろう。	What might be a good prize for bingo at the party?
印	yin4	mark, symbol	Noun	間違いに印を付けておきました。	I marked the mistakes.
親善	qin1, qing4, shan4	goodwill, friendly relations	Noun	これからも両国の親善を深めましょう。	Let's continue promoting friendship between our two countries from now on.
アイドル		idol, pop singer	Noun	彼女は若者のアイドルです。	She is a youth icon.
当たり	dang1, dang4	hit, success	Noun	彼の予想は大当たりでした。	His prediction was spot on.
惜しい	xi1, xi2	almost, close	Adjective	惜しい、もう少しで優勝だった。	How close! We almost won.
覚え	jue2, jiao4	recollection, memory	Noun	この子は覚えが早いね。	This kid remembers things quickly.
からかう		make fun of, tease	Verb	彼は時々妹をからかいます。	He sometimes makes fun of his younger sister.
着替え	zhao2, zhao1, zhe5, zhuo2, ti4	change of clothes	Verbal Noun	着替えを旅行カバンに詰めたよ。	I packed spare clothes in a travel bag.
行程	xing2, hang2, hang4, xing4, cheng2	distance, journey	Noun	全部で6時間の行程です。	It is a six-hour journey in all.
小雨	xiao3, yu3, yu4	drizzle	Noun	小雨なので傘はいりません。	I don't need an umbrella as it is only drizzling.
ご存じ	cun2	know	Noun	彼の名前をご存じですか。	Do you know his name?
叫び	jiao4	shout, cry	Noun	彼女の心の叫びに誰も気付かなかったよ。	No one noticed her cry from the heart.
市	shi4	city	Noun	その市の人口は減り続けているの。	The population of the city keeps decreasing.
私費	si1, fei4	private expense	Noun	彼は私費で留学したんだ。	He went to study abroad at his own expense.
週刊	zhou1, kan1	published weekly	Noun	この週刊誌を毎週買っているの。	I buy this weekly magazine every week.
終点	zhong1, dian3	last stop, terminus	Noun	電車の終点で降りました。	I got off at the terminal.
震度	zhen4, du4, duo2, duo4	seismic intensity	Noun	今朝の地震は震度3でしたよ。	The earthquake this morning had a seismic intensity of three.
狭まる	xia2	become narrow, contract	Verb	ここから道の幅が狭まっています。	The road narrows from here.
赤字	chi4, zi4	deficit, in the red	Noun	私たちの会社は今月は赤字よ。	Our company is in deficit this month.
焦る	jiao1	feel pressured, feel hurried	Verb	何をそんなに焦っているのですか。	What are you in such a hurry for?
宛先	wan3, yuan1, xian1	recipient, addressee	Noun	宛先不明で手紙が戻ってきたの。	The letter was returned as the addressee was unknown.
案の定	an4, ding4	as feared, sure enough	Adverb	案の定、彼は遅刻したな。	Just as I thought, he was late.
受かる	shou4	pass	Verb	第一志望の大学に受かりました。	I passed the entrance exam for my first-choice college.
受け取り	shou4, qu3	receipt	Noun	受け取りに判子をお願いします。	Please stamp your seal on the receipt.
後ろ向き	hou4, xiang4	facing backward	Noun	彼は車を後ろ向きに駐車したの。	He parked the car backwards.
大急ぎ	da4, dai4, ji2	in a great hurry	Adjectival Noun	大急ぎでその仕事を仕上げたよ。	I finished up the work in a rush.
起き上がる	qi3, shang4, shang3	get up, rise	Verb	弟はようやくベッドから起き上がった。	Finally my younger brother got out of bed.
帰す	gui1	send home, see out	Verb	学校は生徒たちを午前中に帰したね。	The school dismissed students in the morning.
貸し	dai4	loan, renting	Noun	彼には貸しがあるの。	He owes me one.
金もうけ	jin1	making money	Verbal Noun	金もうけが彼の趣味だ。	Moneymaking is his hobby.
関節	guan1, jie2, jie1	joint	Noun	手首の関節をひねっちゃった。	I have twisted my wrist joint.
後悔	hou4, hui3	regret	Verbal Noun	後悔しても、しょうがない。	There is no point in regretting the past.
高等	gao1, deng3	higher, high-grade	Adjectival Noun	人間は高等な生物と言われている。	It is said that humans are advanced creatures.
殊に	shu1	especially, exceptionally	Adverb	ロックは殊に若者に人気だ。	Rock music is especially popular among young people.
酒屋	jiu3, wu1	liquor store	Noun	そこの酒屋さんでビールを買って来て。	Go and buy some beer at that liquor store.
参議院	can1, cen1, shen1, yi4, yuan4	House of Councilors, Upper House	Noun	彼は参議院議員です。	He is a member of the House of Councilors.
自然科学	zi4, ran2, ke1, xue2	natural science	Noun	姉は大学で自然科学を学んでいます。	My elder sister studies natural science at university.
使用人	shi3, shi4, yong4, ren2	servant	Noun	彼は使用人を首にしたよ。	He fired the servant.
真珠	zhen1, zhu1	pearl	Noun	母に真珠のネックレスをもらいました。	I was given a pearl necklace by my mother.
末っ子	mo4, zi3, zi2, zi5	youngest child	Noun	彼は5人兄弟の末っ子です。	He is the youngest of five siblings.
すっきり		refreshed	Adverb	よく眠ったら気分がすっきりした。	I felt much better after a good sleep.
正解	zheng4, zheng1, jie3, jie4, xie4	right answer, correct solution	Verbal Noun	10問中9問正解しました。	Nine out of ten questions were answered correctly.
狭める	xia2	narrow, contract	Verb	もっと範囲を狭めて探しましょう	Let's narrow the range and search.
揚げる	yang2	deep-fry	Verb	彼女は夕食に天ぷらを揚げました。	She fried some tempura for dinner.
言い訳	yan2, yi4	apology, excuse	Verbal Noun	あなたは言い訳が多すぎます。	You give too many excuses.
異性	yi4, xing4	opposite sex	Noun	息子はもう異性を意識している。	My son is already aware of the opposite sex.
嫌がる	xian2	dislike, hate	Verb	彼はタバコの煙を嫌がるの。	He dislikes cigarette smoke.
恨む	hen4	hold a grudge, feel resentment	Verb	彼を恨んではいけません。	You should not bear a grudge against him.
永久	yong3, jiu3	permanence, eternity	Adjectival Noun	彼は永久に帰らぬ人となったのよ。	He passed away.
居る	ju1, ji1	be present, stay (humble)	Verb	母は今、うちに居りません。	My mother isn't at home now.
海水浴	hai3, shui3, yu4	sea bathing	Verbal Noun	夏休みには海水浴に行きます。	I go to swim in the sea during the summer.
慣用句	guan4, yong4, ju4, gou1	idiom, common phrase	Noun	「手が空く」は慣用句です。	I have my hands free is an idiom.
効き目	xiao4, mu4	effect, efficacy	Noun	この薬の効き目は素晴らしいの。	This medicine is so effective.
機嫌	ji1, xian2	mood, health	Noun	彼女は大変機嫌がいいね。	She is in a very good mood.
屑	xie4	waste, scraps	Noun	彼の背広に糸屑がついているわ。	He has fluff on his suit.
暦	li4	calendar, almanac	Noun	暦の上では今日から冬ですね。	Winter starts today according to the almanac.
差す	chai1, cha1, cha4, ci1	open (an umbrella)	Verb	雨が降ってきたので傘を差しました。	I opened my umbrella as it started to rain.
残暑	can2, shu3	lingering summer heat	Noun	今年も残暑が厳しかった。	The late-summer heat was harsh this year, too.
乗車券	cheng2, sheng4, che1, ju1, quan4, xuan4	railway ticket, bus ticket	Noun	乗車券は無くさないように。	Do not lose the ticket.
白髪	bai2, fa4	white hair, gray hair	Noun	祖父は白髪が少ないほうです。	My grandfather has relatively little gray hair.
精算	jing1, suan4	settlement of accounts, adjustment	Verbal Noun	降りる駅で料金を精算して下さい。	Please adjust the fare at the station where you get off.
あいにく		unfortunately	Adverb	途中であいにく雨が降り出したの。	Unfortunately, it began to rain on the way.
空ける	kong1, kong4	empty, clear out	Verb	彼女はお年寄りのために席を空けたんだ。	She gave up her seat to the elderly person.
脂	zhi1	fat, grease	Noun	この肉は脂が多い。	This meat is fatty.
暗記	an4, ji4	memorization	Verbal Noun	試験の前に英文を暗記したんだ。	I memorized the English text before the examination.
泉	quan2	spring, fountain	Noun	森の中にきれいな泉があるの。	There is a beautiful spring in the forest.
植木	zhi2, mu4	garden plant, shrub	Noun	植木に水をやりました。	I watered the plant.
伺う	si4, ci4	politely ask	Verb	お話しを伺いたいのですが。	I want to hear your story.
梅	mei2	plum blossom	Noun	梅の花が咲きました。	Plum blossoms bloomed.
裏口	li3, kou3	back door, kitchen door	Noun	裏口へお回りください。	Please go around to the back door.
駅長	yi4, chang2, zhang3	stationmaster	Noun	彼は駅長です。	He is a stationmaster.
お年玉	nian2, yu4	New Year's gift	Noun	甥と姪にお年玉をあげたの。	I gave New Year's pocket money to my niece and nephew.
おばさん		middle-aged woman	Noun	おばさん、こんにちは。	Good afternoon (addressed to a familiar middle-aged woman).
害	hai4	harm, damage	Verbal Noun	お酒の飲み過ぎは健康に害があります。	Too much drinking harms your health.
亀	gui1, jun1, qiu1	turtle, tortoise	Noun	この池には亀がいますね。	There is a turtle in this pond.
義理	yi4, li3	sense of duty, justice	Noun	彼は義理を大切にしています。	He values duty.
訓読み	xun4, du2, dou4	Japanese pronunciation	Verbal Noun	漢字には音読みと訓読みがあります。	Every kanji has both Chinese-derived and Japanese pronunciations.
軽蔑	qing1, mie4	contempt, disdain	Verbal Noun	彼女は彼を軽蔑していたの。	She despised him.
心強い	xin1, qiang2, jiang4, qiang3	reassuring, heartening	Adjective	あなたが一緒にいてくれると心強い。	I feel reassured when we are together.
木の葉	mu4, xie2, ye4, she4	tree leaves	Noun	秋には木の葉が赤くなります。	Leaves go red in autumn.
騒がしい	sao1	noisy	Adjective	何だか表が騒がしい。	It is noisy outside, for some reason.
時機	shi2, ji1	opportunity, chance	Noun	あせらずに時機を待つべきです。	You should wait patiently for the right opportunity.
ジャンプ		jump	Verbal Noun	猿が高い木にジャンプした。	The monkey jumped into the tall tree.
乗車	cheng2, sheng4, che1, ju1	boarding, getting on board	Verbal Noun	このバスの運賃は乗車するときに払います。	On this bus, you pay the fare when you get on.
生理	sheng1, li3	period, menstruation	Noun	昨日、生理が始まったの。	My period started yesterday.
青白い	qing1, bai2	pale, pallid	Adjective	彼女は青白い顔をしているね。	Her face is pale.
悪	e4, e3, wu4	evil, badness	Noun	彼は悪を憎んでいます。	He hates evil.
あちらこちら		all over, here and there	Noun	あちらこちらで紅葉がきれいですね。	Here and there the autumn colors are beautiful.
後戻り	hou4, li4	turning back, retreat	Verbal Noun	彼女は途中で後戻りしました。	She turned back half-way through.
衣食住	yi1, yi4, shi2, si4, zhu4	clothing and food and housing	Noun	土地によって衣食住は変化する。	Clothing, food and housing vary from region to region.
傷める	shang1	damage, spoil	Verb	彼は柔道で腰を傷めたんだ。	He hurt his lower back doing judo.
いつのまにか		before it is noticed	Adverb	いつのまにか夜が明けていたね。	The dawn had broken before we realized it.
今にも	jin1	at any moment	Adverb	今にも雨が降りそうですね。	It looks like it's going to rain any moment now.
生まれつき	sheng1	born, by nature	Adverb	彼女は生まれつき丈夫です。	She is healthy by nature.
侵す	qin1	invade, violate	Verb	他人の権利を侵してはなりません。	You shouldn't infringe on other people's rights.
おごる		treat	Verb	彼に食事をおごってもらった。	He bought me a meal.
主	zhu3	main, chief	Adjective	彼女の主な仕事は接客だよ。	Her main job is customer service.
思い切り	si1, sai1, qie1, qie4	to one's heart's content, with all one's might	Adverb	カラオケで思い切り歌ったの。	I sang karaoke to my heart's content.
おやつ		snack, refreshment	Noun	今日のおやつはプリンだった。	Today's snack was pudding.
快晴	kuai4, qing2	fair and clear weather	Noun	今日は快晴ですね。	Today's weather is fine.
柿	shi4	persimmon, persimmon tree	Noun	庭に柿の実がなりました。	The persimmon in the garden has born fruit.
環境	huan2, jing4	environment, surroundings	Noun	引っ越して環境が変わりました。	My environment changed since I moved to a new location.
聞き取り	wen2, wen4, qu3	listening comprehension, dictation	Noun	英語の聞き取り試験を受けたよ。	I took an English listening comprehension exam.
貴重品	gui4, zhong4, chong2, pin3	article of value, valuables	Noun	貴重品は自分で持っていてください。	Please take your valuables with you.
窮屈	qiong2, qu1	tight, cramped	Adjective	この服は窮屈になったな。	These clothes have become tight.
休息	xiu1, xi1, xi2	rest, break	Verbal Noun	休息をとることは大切です。	It's important to take breaks.
心掛ける	xin1, gua4	bear in mind, try	Verb	安全運転を心掛けてください。	Please remember to drive safely.
心細い	xin1, xi4	helpless, lonely	Adjective	夜道の一人歩きは心細いね。	Walking alone at night makes one feel uneasy.
ごろごろ		rumble	Adverb	雷がごろごろ鳴っている。	The thunder is rumbling.
三角形	san1, jiao3, jia3, jue2, xing2	triangle	Noun	この三角形の面積を出しなさい。	Figure out the dimensions of this triangle.
シューズ		shoes, sports shoes	Noun	ジョギング用のシューズは安くないな。	Jogging shoes are not cheap.
上品	shang4, shang3, pin3	elegance, refinement	Adjectival Noun	このドレスはとても上品なデザインですね。	This dress has a very elegant design.
初級	chu1, ji2	beginner class, elementary level	Noun	これは初級の教科書です。	This is a beginner's textbook.
新学期	xin1, xue2, ji1, qi1, qi2	new term, new semester	Noun	今日から新学期が始まります。	The new semester starts today.
好き嫌い	hao3, hao4, xian2	likes and dislikes, taste	Noun	食べ物の好き嫌いは特にありません。	I have no particular likes or dislikes when it comes to food.
透き通る	tou4, tong1, tong4	be transparent	Verb	湖の水は透き通っていたよ。	The water of the lake was transparent.
正方形	zheng4, zheng1, fang1, xing2	square	Noun	正方形の紙を用意しましょう。	Prepare a square of paper.
西洋人	xi1, yang2, ren2	Westerner	Noun	西洋人は正座が苦手よ。	Westerners are not good at sitting with their legs folded underneath them.
足首	zu2, ju4, shou3	ankle	Noun	彼は足首を痛めています。	He has hurt his ankle.
薄める	bo2, bao2, bo4	thin, dilute	Verb	スープを少し薄めましょうか。	Shall I water down the soup a little?
柄	bing3	handle, grip	Noun	この傘は柄が丈夫だな。	The handle of this umbrella is strong.
裏返し	li3, fan3	turn over, turn inside out	Verbal Noun	シャツを裏返しに着ているよ。	Your shirt is inside out.
お手伝い	shou3, yun2	helper, assistant	Verbal Noun	何かお手伝いしましょうか。	Is there anything I can do to help?
キス		kiss	Verbal Noun	初めてのキスは海岸でだったの。	My first kiss was by the coast.
旧	jiu4	old, former	Noun	旧ソビエトは今はロシアと呼ばれている。	The former Soviet Union is now called Russia.
砕ける	sui4	be crushed, break down	Verb	石が粉々に砕けましたね。	The stone was crushed to pieces.
悔しい	hui3	vexing, frustrating	Adjective	試合に負けてとても悔しい。	I'm so frustrated that we lost the game.
くるくる		round and round, spin	Adverb	猫は私の足元をくるくると回ったの。	The cat rubbed itself around my legs.
怖がる	bu4	be afraid of, fear	Verb	彼女はクモを怖がります。	She is afraid of spiders.
催促	cui1, cu4	demand, urging	Verbal Noun	彼女に本を返すように催促したの。	I urged her to return the book.
サボる		blow off, play truant	Verb	また仕事をサボっていますね。	He's skipping work again, isn't he?
静まる	jing4	become quiet, calm down	Verb	台風が去って風が静まったね。	Because the typhoon has passed, the wind has dropped.
事務員	shi4, wu4, yuan2, yun2, yun4	clerk, clerical staff	Noun	新しい事務員が入りました。	A new clerk joined the office.
上等	shang4, shang3, deng3	first-class, premium	Adjectival Noun	上等なワインを飲んだの。	We drank good wine.
ショッピング		shopping	Verbal Noun	彼女のいちばんの楽しみはショッピングです。	Her greatest pleasure is shopping.
神道	shen2, dao4	Shinto	Noun	彼女の家は神道です。	Her family religion is Shinto.
水洗	shui3, xi3	flushing, washing	Verbal Noun	今はほとんどのトイレが水洗ですよ。	Most toilets nowadays flush.
スマート		sophisticated, skillful	Adjective	彼はいつもスマートに行動するね。	He always acts sophisticatedly.
ずらり		line up neatly	Adverb	玄関に靴がずらりと並んでいたな。	Shoes were lined up in the doorway.
天の川	tian1, chuan1	Milky Way	Noun	今夜は天の川が見えますね。	The Milky Way can be seen tonight.
卑しい	bei1	mean, greedy	Adjective	彼は金に卑しいね。	He's greedy for money.
いらっしゃる		come, go	Verb	お客様がいらっしゃいました。	Your guest has arrived.
ウナギ		eel	Noun	ウナギの蒲焼きは美味しいね。	Broiled eel is delicious.
拝む	bai4	bow in veneration, worship	Verb	仏像に手を合わせて拝みました。	We joined our hands together and prayed at the statue of Buddha.
ガード		guard rail	Noun	歩道に新しくガードが付きましたね。	They put a new guardrail on the pavement.
外食	wai4, shi2, si4	eating out, dining out	Verbal Noun	たまには外食しましょう。	Let's dine out occasionally.
崖	ya2, ai2	cliff	Noun	大雨で崖が崩れたんだ。	The cliff collapsed because of the downpour.
かぼちゃ		pumpkin	Noun	かぼちゃのスープは美味しいです。	Pumpkin soup is delicious.
空っぽ	kong1, kong4	empty	Adjectival Noun	僕の財布は空っぽだよ。	My purse is empty.
聞き手	wen2, wen4, shou3	listener, audience	Noun	彼女はいつも聞き手にまわるね。	She always turns to the listener.
奇跡	qi2, ji1, ji1	miracle, wonder	Noun	彼のマジックはまるで奇跡です。	His magic is like a miracle.
君	jun1	you	Noun	この本を君にあげます。	I'm going to give you this book.
近視	jin4, shi4	nearsightedness, shortsightedness	Noun	彼は軽い近視です。	He is slightly near-sighted.
クイズ		quiz, quiz show	Noun	クイズ番組を見るのが好きです。	I like to watch quiz shows.
クリーム		cream	Noun	私は洗い物をしたあと、手にクリームをぬります。	I put on hand cream after doing the dishes.
ぐるぐる		round and round	Adverb	犬が自分のしっぽを追いかけてぐるぐる回っている。	The dog ran round and round chasing its tail.
訓	xun4	Japanese reading of kanji	Noun	漢字の読み方には、音と訓の2通りがあるの。	There are two ways to pronounce kanji: the Chinese-derived reading and the Japanese reading.
月刊	yue4, kan1	published monthly	Noun	この雑誌は月刊ですか。	Is this magazine monthly?
高気圧	gao1, qi4, ya1, ya4	high pressure	Noun	この暑さは高気圧のせいです。	This heat is due to high atmospheric pressure.
差し上げる	chai1, cha1, cha4, ci1, shang4, shang3	respectfully give	Verb	こちらを差し上げます。	This is for you.
さぞ		no doubt, must	Adverb	それはさぞがっかりしたことでしょう。	That must have been disappointing.
サングラス		sunglasses	Noun	彼はサングラスが似合うね。	Sunglasses suit him.
始終	shi3, zhong1	from beginning to end, at all times	Adverb	その部屋は始終、人が出入りしているね。	People keep going in and out of the room.
消火器	xiao1, huo3, qi4	fire extinguisher	Noun	消火器を交換しました。	The fire extinguisher was replaced.
小児科	xiao3, er2, ke1	pediatrics	Noun	子供を小児科に連れて行くところです。	I'm about to take my kid to the pediatrician.
人文科学	ren2, wen2, wen4, ke1, xue2	humanities	Noun	大学で人文科学を専攻しました。	I majored in humanities when I was in college.
後回し	hou4, hui2	deferment, postponement	Noun	おしゃべりは後回しにしましょう。	Let's leave the chit-chat for later.
威張る	wei1, zhang1	put on airs, be arrogant	Verb	彼は威張ってなんかいません。	He's not putting on airs.
大麦	da4, dai4, mai4	barley	Noun	大麦はビールの原料になります。	Barley is one of the ingredients for beer.
脅かす	xie2	threaten, intimidate	Verb	脅かさないでよ。	Don't threaten me.
お前	qian2	you, darling	Noun	お前の言うことは信じられない。	I can't believe what you say.
音読み	yin1, du2, dou4	Chinese-derived kanji reading	Verbal Noun	この漢字の音読みは何ですか。	What's the Chinese-derived reading of this kanji?
解答	jie3, jie4, xie4, da2, da1	solution, answer	Verbal Noun	インターネットで試験の解答を確認したんだ。	I checked the answers to the exam on the Internet.
花瓶	hua1, ping2	flower vase	Noun	クリスタルガラスの花瓶を買いました。	I bought a crystal glass vase.
可愛らしい	ke3, ke4, ai4	lovely, charming	Adjective	彼女は娘に可愛らしい服を作りましたね。	She made her daughter some lovely clothes.
きっちり		exactly	Adverb	彼女はきっちり3時に来たわ。	She came at three o'clock precisely.
休学	xiu1, xue2	leave of absence, absence	Verbal Noun	1年休学することにしました。	I decided to take a one-year leave from school.
きゅうり		cucumber	Noun	きゅうりに味噌をつけて食べたの。	I ate cucumber with miso on it.
共通語	gong4, gong1, gong3, tong1, tong4, yu3, yu4	common language, lingua franca	Noun	インドでは英語は共通語だよ。	English is a common language in India.
草木	cao3, mu4	plants and trees	Noun	この庭は草木が枯れているね。	The plants dry out in this garden.
木枯らし	mu4, ku1	cold wintry wind	Noun	外は木枯らしが吹いているよ。	A cold wintry wind is blowing outside.
腰掛ける	yao1, gua4	sit down	Verb	私はベンチに腰掛けたの。	I had a seat on the bench.
災難	zai1, nan2, nan4	calamity, misfortune	Noun	旅先で思いがけない災難にあいました。	We encountered an unexpected misfortune on the trip.
逆さ	ni4	reverse, inversion	Adjectival Noun	絵を逆さにしてみてごらん。	Try looking at the picture upside down.
山脈	shan1, mo4, mai4	mountain range	Noun	列車の窓から雄大な山脈が見えたんだよ。	I was able to see a magnificent mountain range from the window of the train.
始発	shi3, fa1	first departure	Noun	始発の電車に乗りました。	I took the first train.
締まる	di4	tighten, be compact	Verb	レバーを右に回すと締まります。	It will shut when the lever is turned to the right.
週休	zhou1, xiu1	weekend	Noun	うちの会社は週休2日です。	Our company has two days off a week.
すっと		clear	Adverb	言いたいことを言ったら胸がすっとした。	I felt relieved after I said what I wanted to say.
すらすら		unhesitantly, confidently	Adverb	その小学生は難しい本をすらすら読んだの。	That elementary school student read a difficult book easily.
怪しむ	guai4	suspect	Verb	警察はそのグループを怪しんでいます。	The police are suspicious of the group.
埋める	mai2, man2	bury, fill up	Verb	庭に穴を掘ってそれを埋めました。	I dug a hole in the backyard and buried it in there.
敬う	jing4	respect, honor	Verb	両親を敬うことは大切です。	It is important to respect your parents.
うろうろ		wander	Adverb	その男はロビーをしばらくうろうろしていたよ。	That man was wandering about the lobby for a while.
お世辞	shi4, ci2	compliment, flattery	Noun	彼はお世辞を言うのが上手い。	He is good at flattery.
お参り	can1, cen1, shen1	visiting a shrine or temple	Verbal Noun	家族でお寺にお参りに行きました。	We payed a visit to the temple with the family.
おまけ		free gift	Verbal Noun	八百屋さんでたくさんおまけしてもらったよ。	I got lots of freebies at the vegetable store.
重たい	zhong4, chong2	heavy	Adjective	この鞄は重たいです。	This bag is heavy.
改札	gai3, zha2	ticket gate	Verbal Noun	改札で3時に会おう。	Let's meet at the ticket gate at 3 o'clock.
海流	hai3, liu2	ocean current	Noun	ここで2つの海流が出合っている。	Two sea currents converge here.
掻く	sao1	scratch	Verb	背中をお母さんに掻いてもらったの。	I had my mother scratch my back.
眼科	yan3, ke1	ophthalmology	Noun	眼科で視力検査をしました。	I took an eyesight test in the eye clinic.
勘違い	kan1, kan4, wei2	misunderstanding	Verbal Noun	待ち合わせは2時だと勘違いしていました。	I mistakenly thought the meeting was at two o'clock.
喜劇	xi3, ju4	comedy	Noun	昨夜はテレビで喜劇を見たよ。	I watched a comedy show on TV last night.
基準	ji1, zhun3	standard, criterion	Noun	この建物は建築の基準に達していないよ。	This building doesn't meet the construction standards.
